task,model,proxy,target,rmse_significance,r2_significance,pearson_significance,spearman_significance,rmse_diff,r2_diff,pearson_diff,spearman_diff
abalone,nn,L2s,Lpls,1,1,0,1,0.08197432713501751,0.4484083733155308,0.012498329925859225,0.021881918126360006
abalone,nn,L2s,Lpl,0,-1,1,1,0.0026478780286677273,-0.4381248988905483,0.02059329608969601,0.02715715512930844
abalone,nn,Lpls,L1s,1,1,-1,1,1.1894679185691222,0.6778257364714524,-0.020326505929720753,0.031716838144687204
abalone,nn,Lpls,L1,1,1,-1,-1,1.733633992736828,0.6073145424817474,-0.21896048271548096,-0.1659912316233341
abalone,nn,Lpls,L2s,1,1,-1,-1,44.83732160638294,0.7975968321599304,-0.08530543181040702,-0.022110352197092814
abalone,nn,Lpls,L2,1,1,-1,-1,47.72133272835616,1.2670993520952631,-0.23086061782178757,-0.10244455358084396
abalone,nn,Lpls,Lpl,1,-1,-1,-1,0.05070196506354557,-0.47659729096235237,-0.18717759522137084,-0.17865089681832885
abalone,nn,L1,L2,0,-1,-1,1,-0.08899803997826261,-0.5709065475515798,-0.03419231630865058,0.07214484145984995
abalone,nn,L1,Lpl,0,0,0,0,0.0010769167691533355,-0.013946534749022632,-0.0031453653370831502,-0.0050171822397434285
abalone,nn,L2,L1,-1,-1,1,-1,-0.06603969960016398,-0.36636292485208655,0.017267131749828857,-0.046622133758698225
abalone,nn,L2,Lpl,1,-1,-1,-1,0.0049876497078958915,-0.9785045548373724,-0.04704805997556705,-0.059423659714048005
abalone,nn,Lpl,L1,1,1,0,0,0.28019458925161267,0.5173302542477332,0.011311556258614908,0.01295582166486331
abalone,nn,Lpl,L2,1,1,-1,1,16.71328976198452,1.3127905561971367,-0.05269700254760401,0.07687637109394935
abalone,bayreg,L1s,L1,1,-1,-1,-1,0.5875889430369432,-37.02757424116083,-0.21555856781622257,-0.2219184258016579
abalone,bayreg,L1s,L2s,0,-1,-1,0,0.2031484649725197,-311.4259848779926,-0.053687908956366534,-0.0004379725922974559
abalone,bayreg,L1s,L2,1,-1,-1,-1,1.478892062895298,-358.90583862298706,-0.2084363651553695,-0.22369230650623184
abalone,bayreg,L1s,Lpls,1,1,1,0,0.006927018611732616,19.270203270406064,0.022865450380604474,0.006449758615778053
abalone,bayreg,L1s,Lpl,1,-1,-1,-1,0.17029450422656756,-13.47020100881376,-0.21711268254609192,-0.2166617364724065
abalone,bayreg,L2s,L1s,1,1,0,0,0.2928418994591562,21.423798994504303,-0.011672252758250096,0.0004347438420285038
abalone,bayreg,L2s,L1,1,-1,-1,-1,0.11757949521653988,-1.45775134854311,-0.11402012782454352,-0.12525579588747804
abalone,bayreg,L2s,L2,1,-1,-1,-1,0.6514924920268985,-24.53453831379125,-0.08832636920319425,-0.1270140736789056
abalone,bayreg,L2s,Lpls,1,1,0,0,0.1543246777785432,28.64468179011131,-0.008853789425571731,0.0069559926076906975
abalone,bayreg,L2s,Lpl,1,1,-1,-1,0.030980230203926762,2.4822315529825056,-0.12715515626106494,-0.11993015747840885
abalone,bayreg,Lpls,L1s,0,-1,-1,0,0.007243684523832172,-45.83420593997258,-0.024895432167888143,-0.006400859264970693
abalone,bayreg,Lpls,L1,1,-1,-1,-1,0.677004138671109,-115.38704549902718,-0.32008395361582925,-0.33463244836991707
abalone,bayreg,Lpls,L2s,0,-1,-1,0,0.24832257337670605,-2095.982976593632,-0.06855944120170646,-0.006916221620842808
abalone,bayreg,Lpls,L2,1,-1,-1,-1,1.5505516971991273,-2246.2802548125255,-0.25074412021354664,-0.33625679503140976
abalone,bayreg,Lpls,Lpl,1,-1,-1,-1,0.20060711859780195,-45.751191123938504,-0.33255345275820347,-0.3292694117316541
abalone,bayreg,L1,L2,0,-1,0,0,0.13942969953845896,-10.208707583527907,0.012627381116156355,-0.009374730541253595
abalone,bayreg,L1,Lpl,1,1,0,0,0.012528088152221284,1.9940932549658332,-0.006487721502169419,-0.002434374472963463
abalone,bayreg,L2,L1,1,1,0,0,0.09766036389498911,1.2109345471703534,-0.0009602099126481134,-0.003384068894928871
abalone,bayreg,L2,Lpl,1,1,0,0,0.05982787500570369,1.7506466990054728,-0.009378155298088109,0.0019437476961787215
abalone,bayreg,Lpl,L1,1,-1,0,0,0.03448005637708085,-7.769219970097097,0.007319704528016502,-0.005339672651481553
abalone,bayreg,Lpl,L2,1,-1,1,0,0.5504768814089616,-54.37576583499684,0.017060760648558215,-0.006995243551208841
auction_verification,lr,L1s,L1,1,-1,-1,-1,180.33774534588906,-17.269505416667954,-0.1519495900392412,-0.4001439781211956
auction_verification,lr,L1s,L2s,0,-1,1,1,478550.3756633699,-876.6800846515386,0.10014489411842167,0.08002591913268464
auction_verification,lr,L1s,L2,0,-1,1,-1,1116419.865142379,-1271.4669239974369,0.054442112150518085,-0.3544784085928344
auction_verification,lr,L1s,Lpls,1,1,-1,-1,0.08379456882000502,9.146696478693197,-0.07331916309945066,-0.0828834121812804
auction_verification,lr,L1s,Lpl,1,-1,-1,-1,0.06848698967920253,-1.2098941311218312,-0.33978265666721835,-0.42503301429775947
auction_verification,lr,L2s,L1s,1,1,-1,-1,804.6998932544518,7.726425165946248,-0.10843209383224525,-0.08020910518247476
auction_verification,lr,L2s,L1,1,-1,-1,-1,509.66495202865985,-2.493557272204049,-0.17803671498808538,-0.3610227324651189
auction_verification,lr,L2s,L2,0,-1,0,-1,165250.19856048375,-20.269732972706066,0.001076484709027048,-0.3154433043073209
auction_verification,lr,L2s,Lpls,1,1,-1,-1,0.45805531562429236,10.241308675198844,-0.2095187900664227,-0.16321813320933698
auction_verification,lr,L2s,Lpl,1,-1,-1,-1,0.3136111594375536,-6.574701284217517,-0.411968729693801,-0.38621762143486926
auction_verification,lr,Lpls,L1s,0,-1,-1,1,32.899172177582386,-67.74861891485955,-0.024692170408451702,0.08305391997810489
auction_verification,lr,Lpls,L1,1,-1,-1,-1,366.197978320326,-216.75104300981332,-0.3382893716857353,-0.5010415676751012
